Wed, 13 Feb 2019 16:54:04 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 16:54:04 -0500	Found.
Wed, 13 Feb 2019 16:54:04 -0500	Output.
Wed, 13 Feb 2019 16:54:04 -0500	View "index".
Wed, 13 Feb 2019 16:56:01 -0500	Looking for "index".
Wed, 13 Feb 2019 16:56:01 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 16:56:01 -0500	Found.
Wed, 13 Feb 2019 16:56:48 -0500	Looking for "index".
Wed, 13 Feb 2019 16:56:48 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 16:56:48 -0500	Found.
Wed, 13 Feb 2019 16:57:32 -0500	Looking for "index".
Wed, 13 Feb 2019 16:57:32 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 16:57:32 -0500	Found.
Wed, 13 Feb 2019 16:57:32 -0500	Output.
Wed, 13 Feb 2019 16:57:32 -0500	View "index".
Wed, 13 Feb 2019 16:57:36 -0500	Looking for "index".
Wed, 13 Feb 2019 16:57:36 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 16:57:36 -0500	Found.
Wed, 13 Feb 2019 16:57:36 -0500	Output.
Wed, 13 Feb 2019 16:57:36 -0500	View "index".
Wed, 13 Feb 2019 17:02:06 -0500	Looking for "index".
Wed, 13 Feb 2019 17:02:06 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:02:06 -0500	Found.
Wed, 13 Feb 2019 17:02:59 -0500	Looking for "index".
Wed, 13 Feb 2019 17:02:59 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:02:59 -0500	Found.
Wed, 13 Feb 2019 17:03:21 -0500	Looking for "index".
Wed, 13 Feb 2019 17:03:21 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:03:21 -0500	Found.
Wed, 13 Feb 2019 17:03:21 -0500	Output.
Wed, 13 Feb 2019 17:03:21 -0500	View "index".
Wed, 13 Feb 2019 17:03:56 -0500	Looking for "index".
Wed, 13 Feb 2019 17:03:56 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:03:56 -0500	Found.
Wed, 13 Feb 2019 17:03:56 -0500	Output.
Wed, 13 Feb 2019 17:03:56 -0500	View "index".
Wed, 13 Feb 2019 17:05:23 -0500	Looking for "index".
Wed, 13 Feb 2019 17:05:23 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:05:23 -0500	Found.
Wed, 13 Feb 2019 17:05:23 -0500	Output.
Wed, 13 Feb 2019 17:05:23 -0500	View "/".
Wed, 13 Feb 2019 17:06:17 -0500	Looking for "index".
Wed, 13 Feb 2019 17:06:17 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:06:17 -0500	Found.
Wed, 13 Feb 2019 17:06:17 -0500	Output.
Wed, 13 Feb 2019 17:06:17 -0500	View "/".
Wed, 13 Feb 2019 17:06:37 -0500	Looking for "index".
Wed, 13 Feb 2019 17:06:37 -0500	Does "/Users/donmyers/Projects/php_doc_xo/site/pages/index.html" exist.
Wed, 13 Feb 2019 17:06:37 -0500	Found.
